congressman
congressmen
men
man
he
his
him
his
mr.
mr
sir
boy
boys
male
gentleman
gentlemen
guy
guys
actor
father
fathers
boyfriend
boyfriends
husband
husbands
brother
bro
brothers
weatherman
weathermen
