-7.846972003380529, Susan
-7.803612935736548, Sarah
-7.612000008497147, Lisa
-7.591325869994162, Barbara
-7.560328850546652, Elizabeth
-7.560328850546652, Jennifer
-7.42206858877809, Maria
-7.351257242956107, Jane
-7.302229457337385, Mary
-7.261828111742005, Nancy
-7.213952388824889, Kate
-7.2045696559693635, Julie
-7.173458083127533, Patricia
-7.079258687288988, Ann
-7.060401697666113, Helen
-7.030036706570038, Rebecca
-7.02723029032575, Julia
-6.911186704190536, Sandra
-6.8560890577743345, Deborah
-6.849403952922737, Amanda
-6.849403952922737, Stephanie
-6.845409260328415, Anne
-6.835898909902192, Ruth
-6.830058706033935, Laura
-6.818758445987801, Janet
-6.815295005262947, Caroline
-6.804832510908545, Angela
-6.7283772279948675, Heather
-6.707803817378857, Linda
-6.689818913593159, Melissa
-6.681926451463848, Diana
-6.681926451463848, Diane
-6.637373463606852, Ellen
-6.637373463606852, Victoria
-6.573247736961409, Kathleen
-6.568823518231542, Jill
-6.559916170026742, Jenny
-6.5464052191429625, Alexandra
-6.523474926091353, Sue
-6.523134389298624, Catherine
-6.500709409731315, Anna
-6.490466375021321, Katherine
-6.475980695108024, Eva
-6.475980695108024, Katie
-6.4754351733984095, Amy
-6.466206122760372, Pamela
-6.44636670167498, Judy
-6.443174161216277, Margaret
-6.436297969434529, Sophie
-6.4261272019219815, Elena
-6.4261272019219815, Liz
-6.4158523060446715, Cynthia
-6.409845701600321, Christine
-6.394981428736763, Martha
-6.394981428736763, Paula
-6.389695174246138, Marie
-6.368267195551594, Vanessa
-6.342476076356371, Jessica
-6.335241995781701, Kathy
-6.329630543773669, Anita
-6.329630543773669, Carolyn
-6.329630543773669, Charlotte
-6.3068655077043845, Claudia
-6.289446177136688, Olga
-6.283571861901476, Natalie
-6.282178722452734, Carol
-6.277662944076035, Christina
-6.277662944076035, Suzanne
-6.241459257545917, Tina
-6.239874864962442, Sara
-6.235296196865174, Beth
-6.235296196865174, Jacqueline
-6.229095031595438, Kathryn
-6.229095031595438, Marina
-6.229095031595438, Megan
-6.203899692717483, Monica
-6.192483856656932, Emily
-6.164878557857611, Joanna
-6.156253854158596, Judith
-6.144783412784762, Denise
-6.144783412784762, Fiona
-6.13115937313693, Sheila
-6.103343034860027, Elaine
-6.103343034860027, Melanie
-6.0891400132902715, Rita
-6.081962330649533, Betty
-6.074732889598433, Cathy
-6.074732889598433, Cheryl
-6.068708247091721, Wendy
-6.03022597033662, Annie
-6.03022597033662, Maggie
-6.016132916414303, Nicole
-6.007208874907236, Yvonne
-5.999417542232617, Sylvia
-5.9859640409900186, Michelle
-5.977968231633636, Rachel
-5.967632075832731, Cindy
-5.967632075832731, Irina
-5.967632075832731, Teresa
-5.956571455110805, Emma
-5.951353171425245, Esther
-5.934805486276277, Irene
-5.934805486276277, Shirley
-5.9264280451336075, Sonia
-5.917979985100073, Ingrid
-5.900867169218874, Joanne
-5.883457044323018, Gina
-5.883457044323018, Karin
-5.875673419467401, Claire
-5.875673419467401, Mar%C3%ADa
-5.857779000830869, Nina
-5.85676122459843, Maureen
-5.847702198366646, Cristina
-5.847702198366646, Lori
-5.847702198366646, Miriam
-5.838560524175975, Dorothy
-5.825675248181012, Sally
-5.82002309540734, Natasha
-5.810624164683499, Debbie
-5.810624164683499, Gillian
-5.7915575892181845, Elisabeth
-5.7915575892181845, Erika
-5.7915575892181845, Rose
-5.7915575892181845, Rosemary
-5.787682419647741, Louise
-5.781886488185827, Carole
-5.7721211232042995, Annette
-5.762259636809581, Marianne
-5.762259636809581, Nadia
-5.7523001160891605, Jeanne
-5.74224059045286, Debra
-5.74224059045286, Janice
-5.732079029290493, Cecilia
-5.732079029290493, Marta
-5.712321024873258, Donna
-5.70096087363211, Daniela
-5.70096087363211, Kimberly
-5.685888282751152, Lucy
-5.668844991252263, Eileen
-5.668844991252263, Heidi
-5.668844991252263, Vera
-5.657906731612841, Pam
-5.646847706403463, Anastasia
-5.646847706403463, Helena
-5.629759102909851, Lauren
-5.6243564727591275, Eleanor
-5.6243564727591275, Isabel
-5.6243564727591275, Tanya
-5.6221649017089845, Alice
-5.601348577079889, Carrie
-5.595123890805522, Ana
-5.589643348716076, Erica
-5.589643348716076, Veronica
-5.5777997025528805, Audrey
-5.5777997025528805, Marcia
-5.554434580990128, Hannah
-5.528972785162944, Beverly
-5.528972785162944, Tiffany
-5.516384814862016, Adriana
-5.516384814862016, Kristina
-5.516384814862016, Leah
-5.516384814862016, Lynne
-5.516384814862016, Monika
-5.516384814862016, Svetlana
-5.504350601255478, Danielle
-5.5036366010749385, Colleen
-5.5036366010749385, Petra
-5.490724008313802, Gabriela
-5.490724008313802, Isabelle
-5.490724008313802, Silvia
-5.490724008313802, Tatiana
-5.484904932108332, Joyce
-5.4776427389056375, Sophia
-5.4776427389056375, Ursula
-5.464388324399221, Regina
-5.450956116395099, Florence
-5.450956116395099, Georgia
-5.437341276751751, Lorraine
-5.424197564986497, Valerie
-5.4235387671162565, Lydia
-5.4235387671162565, Roberta
-5.417219702170208, Princess
-5.409543337722768, Chloe
-5.409543337722768, Nora
-5.409543337722768, Sofia
-5.409543337722768, Stella
-5.4031165755416355, Grace
-5.388812231885392, Frances
-5.380951590694437, Susanne
-5.374300838512112, Bonnie
-5.374300838512112, Naomi
-5.366343604107754, Francesca
-5.366343604107754, Lois
-5.366343604107754, Phyllis
-5.359576305389744, Carla
-5.359576305389744, Natalia
-5.351519331241486, Mona
-5.351519331241486, Nathalie
-5.336472266880222, Josephine
-5.336472266880222, Lily
